"project","river","date","ID","parameter","flag","unit","value","depth"
"PARTNERS","Kolyma","2003-08-26","","Alkalinity","AV","mg CaCO3/L","30.7","0"
"PARTNERS","Kolyma","2003-08-26","","As","AV","ug/L","0.67","0"
"PARTNERS","Kolyma","2003-08-26","","Ba","AV","ug/L","9","0"
"PARTNERS","Kolyma","2003-08-26","","Ca","AV","mg/L","11.8","0"
"PARTNERS","Kolyma","2003-08-26","","Discharge","AV","m3/sec","2340","0"
"PARTNERS","Kolyma","2003-08-26","","DOC","AV","mg/L","2.9","0"
"PARTNERS","Kolyma","2003-08-26","","DOC-13C","AV","per mil","-27.5","0"
"PARTNERS","Kolyma","2003-08-26","","DOC-14C","AV","per mil","-18.9","0"
"PARTNERS","Kolyma","2003-08-26","","H2O-18O","AV","per mil","-21.2","0"
"PARTNERS","Kolyma","2003-08-26","","H2O-2H","AV","per mil","-165","0"
"PARTNERS","Kolyma","2003-08-26","","K","AV","mg/L","0.55","0"
"PARTNERS","Kolyma","2003-08-26","","Li","AV","ug/L","0.42","0"
"PARTNERS","Kolyma","2003-08-26","","Mg","AV","mg/L","2.6","0"
"PARTNERS","Kolyma","2003-08-26","","Na","AV","mg/L","1.8","0"
"PARTNERS","Kolyma","2003-08-26","","NH4","AV","ug/L as N","0","0"
"PARTNERS","Kolyma","2003-08-26","","NO3","AV","ug/L as N","1","0"
"PARTNERS","Kolyma","2003-08-26","","pH","AV","std units","7.7","0"
"PARTNERS","Kolyma","2003-08-26","","PN","AV","ug/L","57","0"
"PARTNERS","Kolyma","2003-08-26","","PN-15N","AV","per mil","2.5","0"
"PARTNERS","Kolyma","2003-08-26","","POC","AV","mg/L","0.4","0"
"PARTNERS","Kolyma","2003-08-26","","POC-13C","AV","per mil","-33","0"
"PARTNERS","Kolyma","2003-08-26","","Rb","AV","ug/L","0.24","0"
"PARTNERS","Kolyma","2003-08-26","","SiO2","AV","mg/L","4.9","0"
"PARTNERS","Kolyma","2003-08-26","","Sr","AV","ug/L","67","0"
"PARTNERS","Kolyma","2003-08-26","","TDN","AV","mg/L","0.11","0"
"PARTNERS","Kolyma","2003-08-26","","Temperature","AV","deg C","11.1","0"
