Area, RTSID, location_center_lat, location_center_lon, change_vol_year, change_area_year, dem_avg_slope, dem_aspect, dem_elevation, location,
Peel,1,68.48295845,-136.5874856,6654.441129,951.025528,5.493719578,288.7511703,322.3241882, hillslope, 
Peel,2,68.4881679,-136.6913687,16805.19985,2228.342391,10.72621822,131.4286392,382.2645264, hillslope, 
Peel,3,68.41057705,-136.5935871,6699.194518,1061.955299,8.969615936,159.698088,316.8352966, hillslope, 
Peel,4,68.40280767,-136.5752407,5810.858703,830.3487894,13.04023743,58.03310799,293.486908, hillslope, 
Peel,5,68.43313533,-135.8973828,3474.154162,895.792713,7.887670517,348.3269591,275.4597473, lakeshore, 
Peel,6,68.46340837,-135.8996998,4357.15891,770.4745615,12.29441166,275.1647255,202.4087219, hillslope, 
Peel,7,68.45197882,-135.614748,942.4664602,250.6363031,8.171684265,353.1167885,67.3603363, hillslope, 
Peel,9,68.33806418,-135.7612146,2066.634615,608.0251057,9.277596474,347.458414,324.7545776, hillslope, 
Peel,10,68.33879064,-135.7652467,5088.369848,1429.55521,10.50707531,74.60803385,324.3570557, hillslope, 
Peel,11,68.33878813,-135.7740529,3621.262082,918.9997781,10.76952744,125.7916894,341.696167, hillslope, 
Peel,12,68.34188442,-135.7506788,12171.86103,3304.686071,10.23163319,131.5678326,301.2373352, hillslope, 
Peel,13,68.31946427,-135.7819331,11366.76468,2473.87314,8.404630661,97.61645031,383.4692078, hillslope, 
Peel,14,68.36325465,-135.7501824,8203.874216,2645.605422,7.215461254,122.8860551,261.6723633, hillslope, 
Peel,15,68.38447338,-135.7538399,2478.840761,1072.166408,10.79770184,332.5352724,267.0562134, hillslope, 
Peel,16,68.38322951,-135.8268372,5922.558951,1870.489447,9.511574745,321.7907192,243.2548523, hillslope, 
Peel,17,68.38849783,-135.8177824,4521.405341,1011.828039,11.18916035,313.2681738,226.9107666, hillslope, 
Peel,18,68.36127536,-135.7662628,3117.434631,798.3230396,13.52983379,75.8468417,304.1448364, hillslope, 
Peel,19,68.34105214,-135.7451844,2665.307773,654.4392359,11.1426754,354.0006933,283.2555847, hillslope, 
Peel,20,68.34228315,-135.7403385,1623.815654,380.5958677,8.749393463,331.772518,273.6586914, hillslope, 
Peel,21,68.34842868,-135.7126561,8676.93538,2566.701401,8.992957115,133.0693592,239.6056213, hillslope, 
Peel,22,68.35718086,-135.7162113,1683.999064,649.7978229,11.7525692,48.85991688,215.4146729, hillslope, 
Peel,23,68.35395014,-135.7359219,1007.596049,255.2777161,11.02091122,359.2547583,237.6663361, hillslope, 
Peel,24,68.31594832,-135.7154536,3926.631733,1935.46923,7.529593945,113.2686459,370.7853699, hillslope, 
Peel,25,68.2540793,-135.8004502,3196.037629,829.8846481,8.08428669,135.766398,282.8959656, hillslope, 
Peel,26,68.26426858,-135.7600087,1760.849464,451.1453456,10.13856506,316.6009776,254.4875793, hillslope, 
Peel,27,68.23288642,-135.9142727,7142.142843,1576.223862,11.65874672,98.5968798,370.5759277, lakeshore, 
Peel,28,68.22474584,-135.909642,6073.074034,1169.636081,12.05071449,95.40744021,370.2945557, lakeshore, 
Peel,29,68.22982412,-135.9120147,3362.190413,1069.38156,10.84056091,63.28784706,363.6705017, lakeshore, 
Peel,30,68.20298185,-135.9302691,13053.67905,2550.920596,12.77570152,47.55372204,470.827179, hillslope, 
Peel,31,68.2037238,-135.9650441,7073.804099,1537.235992,13.70891666,152.3943003,547.7058105, hillslope, 
Peel,32,68.20518621,-135.8775734,4814.60294,1431.411776,11.27969837,240.4258201,387.3089905, lakeshore, 
Peel,33,68.21116403,-135.653055,34245.34101,3798.068275,11.91237354,111.8037279,255.2537384, hillslope, 
Peel,34,68.21388778,-135.6302826,1990.974711,568.1089537,9.553817749,209.1561952,253.2879944, hillslope, 
Peel,35,68.20899673,-135.593712,10596.52198,1802.724817,16.53989983,199.105768,237.262146, hillslope, 
Peel,36,68.20669007,-135.5861346,9003.07847,2692.947835,7.195203304,210.2238616,235.9719849, hillslope, 
Peel,37,68.20216574,-135.5798816,4280.366329,952.4179519,13.86784554,228.3365462,216.5863342, hillslope, 
Peel,38,68.2707338,-135.7386698,4409.308616,1342.296646,8.999300003,340.8132242,263.6548767, hillslope, 
Peel,39,68.20932959,-135.6607577,4574.911337,1072.166408,12.80992699,89.47921148,267.5649719, hillslope, 
Peel,40,68.20850677,-135.651139,2463.561549,928.2826042,11.18187141,95.17738053,236.9982758, hillslope, 
Peel,41,68.20668081,-135.4704643,1881.434831,457.6433239,7.360566139,216.6114046,87.42385864, hillslope, 
Peel,42,68.25566941,-135.3872191,2874.156602,746.803355,5.962994099,77.92373389,8.748829842, lakeshore, 
Peel,43,68.1013466,-136.3304649,6615.338414,1625.42284,7.626772881,287.3663635,677.6867065, hillslope, 
Peel,44,68.19494155,-136.0962091,47123.43546,6611.228707,10.06462765,52.69070297,456.3569336, hillslope, 
Peel,45,68.099997,-135.7569778,11055.58695,2606.617552,10.04869366,231.3473278,447.0813904, hillslope, 
Peel,46,68.10260578,-135.758148,6807.695947,1832.429861,7.033479691,255.5245826,448.7733765, hillslope, 
Peel,47,68.14842076,-135.7633409,12713.28154,1882.557121,9.779313088,233.308009,343.1156311, hillslope, 
Peel,48,68.18840229,-135.7853015,946.3502335,306.3332594,7.53154707,35.51797038,338.4592285, hillslope, 
