system:index,B11_median,B12_median,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,B9_median,cloud_cover,clouds_count,date,lat,lon,product_id,sensor,shadows_count,site_no,solar_az,solar_zen,water_median,.geo
20160604T221542_20160604T221826_T03VXJ_4,52.99999999999999,27.0,1283.9999999999998,342,1002.0000000000001,820.0,753.9999999999999,716.9999999999999,545.0,541.9999999999999,391.00000000000006,444.99999999999994,100.0,43.3598,342,2016-06-04,61.93,-162.88,S2A_MSIL1C_20160604T221542_N0202_R115_T03VXJ_20160604T221826,Sentinel-2A,342,Yukon,169.772479994,39.4479598017,0.8781247234465099,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160604T221542_20160605T000229_T03VXJ_4,52.99999999999999,27.0,1283.9999999999998,342,1002.0000000000001,820.0,753.9999999999999,716.9999999999999,545.0,541.9999999999999,391.00000000000006,444.99999999999994,100.0,43.3598,342,2016-06-04,61.93,-162.88,S2A_OPER_PRD_MSIL1C_PDMC_20161210T004742_R115_V20160604T221542_20160604T221826,Sentinel-2A,342,Yukon,169.772479994406,39.447959801681,0.8781247234465099,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160606T010652_20160606T010652_T57WWS_3,32.0,17.000000000000004,1233.9999999999995,351,905.0000000000001,684.9999999999999,587.0,532.0,348.00000000000006,327.0,223.0,263.0,71.0,0.0,351,2016-06-06,68.75,161.3,S2A_MSIL1C_20160606T010652_N0500_R131_T57WWS_20231003T045119,Sentinel-2A,351,Kolyma,176.990653211657,46.2604170860005,0.910400690242997,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160606T010652_20160606T025345_T57WWS_3,32.0,15.0,1205.9999999999998,351,904.0000000000001,681.0,585.0,529.0,345.0,328.0,220.00000000000003,260.0,67.00000000000001,0.0,351,2016-06-06,68.75,161.3,S2A_OPER_PRD_MSIL1C_PDMC_20160607T034956_R131_V20160606T010652_20160606T010652,Sentinel-2A,351,Kolyma,176.989557900843,46.260364557583,0.910389388368009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160607T204022_20160607T204022_T08WNV_5,42.0,28.000000000000004,1292.0,348,1046.9999999999998,908.9999999999999,869.0000000000001,833.0,596.0,589.0,412.0,485.99999999999994,82.00000000000003,3.3315,348,2016-06-07,67.45,-133.74,S2A_MSIL1C_20160607T204022_N0202_R014_T08WNV_20160607T204022,Sentinel-2A,348,Mackenzie,177.509284172,44.2870337545,0.9114230720236832,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160607T204022_20160607T223708_T08WNV_5,42.0,28.000000000000004,1292.0,348,1046.9999999999998,908.9999999999999,869.0000000000001,833.0,596.0,589.0,412.0,485.99999999999994,82.00000000000003,3.3315,348,2016-06-07,67.45,-133.74,S2A_OPER_PRD_MSIL1C_PDMC_20160608T062607_R014_V20160607T204022_20160607T204022,Sentinel-2A,348,Mackenzie,177.509284172345,44.287033754542,0.9114230720236832,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160608T032541_20160608T070255_T51WWQ_2,25.0,14.000000000000002,1083.0,351,730.0,463.9999999999999,326.00000000000006,308.0,242.00000000000003,224.00000000000003,158.00000000000003,185.0,64.0,20.9386,351,2016-06-08,66.76905,123.39458,S2A_OPER_PRD_MSIL1C_PDMC_20160608T082749_R018_V20160608T032541_20160608T032541,Sentinel-2A,351,Lena,175.789578330642,44.2917220622933,0.8980670374061329,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160608T032542_20160608T032541_T51WWQ_2,25.0,14.000000000000002,1083.0,351,730.0,463.9999999999999,326.00000000000006,308.0,242.00000000000003,224.00000000000003,158.00000000000003,185.0,64.0,20.9386,351,2016-06-08,66.76905,123.39458,S2A_MSIL1C_20160608T032542_N0202_R018_T51WWQ_20160608T032541,Sentinel-2A,351,Lena,175.789578331,44.2917220623,0.8980670374061329,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160609T061632_20160609T061634_T44WPC_1,32.0,20.0,1280.0,346,870.9999999999999,556.0000000000001,390.0,341.00000000000006,256.0,232.0,165.0,188.00000000000006,69.0,19.8689,346,2016-06-09,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160609T061632_N0202_R034_T44WPC_20160609T061634,Sentinel-2A,346,Yenisey,180.124606225,46.802558905,0.8913103974577397,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160609T061632_20160609T061634_T45WVT_1,32.0,19.999999999999993,1280.0,353,871.0000000000001,556.0,390.00000000000006,339.99999999999994,256.0,232.0,166.00000000000003,188.00000000000006,68.00000000000001,18.3156,353,2016-06-09,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160609T061632_N0202_R034_T45WVT_20160609T061634,Sentinel-2A,353,Yenisey,181.136773293,46.8474970835,0.8912269466147972,"{""type"":""MultiPoint"",""coordinates"":[]}"
