system:index,elev_median,elev_min,lat,lon,site_no,downstream_sequence,station_nm,river,.geo
0,-3.150000095,-3.349999905,76.05432,99.33081000000001,a001,1,A 1,A,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-3.5,-3.5,76.0558,99.4968,a002,2,A 2,A,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-2.700000048,-3.200000048,75.9717,100.3967,b003,3,B 3,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-2.150000095,-2.950000048,76.0099,100.2442,b002,2,B 2,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-3.5,-4,75.9942,99.98100000000001,b001,1,B 1,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.649999976,-2.25,75.99098000000001,100.87123,b004,4,B 4,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.0499999523162842,-0.5,76.03742000000001,101.04822,b005,5,B 5,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.9500000476837157,0.3999999761581421,76.06947,101.27345,b006,6,B 6,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.200000107288361,2.700000047683716,76.1705,101.0654,b007,7,B 7,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.200000286102294,4.550000190734863,76.181,100.8645,b008,8,B 8,B,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-0.227214261,-2.5,75.92957,100.25344,d001,1,D 1,D,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.547619002205985,-0.200000048,75.75392,99.00278,e001,1,E 1,E,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,33.849998474121094,32.099998474121094,75.7136,98.41420000000001,e002,2,E 2,E,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,33.849998474121094,32.099998474121094,75.7136,98.41420000000001,f001,1,F 1,F,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.3236402620574432,-1.149999857,75.4307,99.26100000000001,g001,1,G 1,G,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-0.75,-1.899999976,76.278,102.62610000000001,c001,1,C 1,C,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8.516375608319278,6.900000095367432,76.1734,102.0166,c002,2,C 2,C,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-1.799999952,-2.299999952,76.3705,103.48930000000001,est1_001,1,Estuary 1 1,Estuary 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-2,-2.5,76.3468,103.0231,est1_002,2,Estuary 1 2,Estuary 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-2,-2.5,76.3157,102.74640000000001,est1_003,3,Estuary 1 3,Estuary 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-2.200000048,-2.200000048,76.39450000000001,101.91540000000002,est1_004,4,Estuary 1 4,Estuary 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-2.849999905,-2.849999905,76.4713,101.4172,est1_005,5,Estuary 1 5,Estuary 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-2.349999905,-2.849999905,76.494,101.0272,est1_006,6,Estuary 1 6,Estuary 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-2.75,-3.25,75.5794,99.17320000000001,est2_001,1,Estuary 2 1,Estuary 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-3.25,-4.25,75.7589,99.2748,est2_002,2,Estuary 2 2,Estuary 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-3.700000048,-3.75,75.9841,99.76920000000001,est2_003,3,Estuary 2 3,Estuary 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-8,-8,76.1159,99.7692,est2_004,4,Estuary 2 4,Estuary 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-8,-8,76.1688,99.5137,est2_005,5,Estuary 2 5,Estuary 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2.7935475293200027,1.350000023841858,76.38062,103.93731000000001,control_001,1,Control 1,Control,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,14.550000190734862,13.600000381469727,75.3382,97.5936,control_002,2,Control 2,Control,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-1.399999857,-1.899999857,74.1613,98.36050000000002,control_003,3,Control 3,Control,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,19.166667302449543,16.900001525878906,76.1562,103.5839,control_004,4,Control 4,Control,"{""type"":""MultiPoint"",""coordinates"":[]}"
