ID,max_area_m2,min_area_m2,N_images
ID111527415817434,533400,427400,33
ID128518306447147,29400,7500,33
ID111445811438822,566400,342400,31
ID114082921358840,108000,50800,31
ID114203180441595,32600,17700,31
ID114207475410440,231600,99400,31
ID115684944160304,40600,16400,31
ID117145233041101,199500,85100,31
ID117883967415888,21500,2000,31
ID118880399828601,9900,4200,31
ID126946348415632,20100,8800,31
ID131443179174162,23600,8400,31
ID114538187892131,99900,22900,30
ID115109418542579,25500,11100,30
ID115380001482285,55800,33900,30
ID112231790454104,115500,26000,29
ID116286239581786,15300,5000,29
ID117488830424012,175500,76400,29
ID110719961965796,279400,150600,28
ID111686329607531,176100,61100,28
ID111858128299489,38100,18100,28
ID113202453063125,167900,105900,28
ID116513872848537,38700,12900,28
ID116543937619475,10800,5200,28
ID117364276373129,20400,8900,28
ID117914032186899,30200,21300,28
ID130360847415838,17400,2500,28
ID110586817979317,67500,31400,27
ID110741436801970,147000,53800,27
ID110857400918895,283500,88100,27
ID111630495032597,21100,3200,27
ID113369956786380,18600,7500,27
ID117883967415791,49500,21400,27
ID119687853680254,53600,20600,27
ID125314260843423,15000,8300,27
ID132821863670836,453700,282900,27
ID113713554171246,148500,100600,26
ID113730734040455,19400,4200,26
ID113893942797779,25600,14300,26
ID114903260112428,157700,61900,26
ID115212497757637,18100,11300,26
ID115328461874747,26800,12900,26
ID116337779189257,20300,9500,26
ID116599772194353,22800,5900,26
ID116960549447091,64200,18100,26
ID117136643106188,41300,26400,26
ID117282671994081,52200,27500,26
ID117437290816512,52700,31500,26
ID119202522375697,122800,72100,26
ID119430155642528,101700,63000,26
ID122183229679040,763600,643100,26
ID110522393470713,69900,29300,25
ID114602612401574,63400,11900,25
ID115306987038212,14600,6500,25
ID115624814617824,12200,9800,25
ID115882512656070,265900,159300,25
ID116200340235904,48300,24100,25
ID116247584876057,200200,77200,25
ID116363548993034,27900,10500,25
ID116410793633323,57300,20000,25
ID117046448793280,25900,3600,25
ID117295556895725,90400,32800,25
ID118124485584544,21800,5700,25
ID118880399828455,13800,8900,25
ID119760868123110,392100,284600,25
ID119765163090546,106100,56500,25
ID119902602044020,24100,2800,25
ID120332098774489,16100,7800,25
ID120473832695379,43500,19100,25
ID124356483137020,20800,14900,25
ID110530983404168,46300,32700,24
ID113825223320899,32100,19400,24
ID113855288092231,102200,49500,24
ID114005611947476,18000,10200,24
ID114542482859564,12100,9400,24
ID115822383113927,214100,167300,24
ID115989886838494,34600,11300,24
ID116217520104979,130600,84500,24
ID116247584876152,13500,9100,24
ID116891829970673,33200,18900,24
ID117102283367910,85300,59100,24
ID118549687346836,8500,4300,24
ID119108033095235,48600,30100,24
ID119816702699154,198900,116900,24
ID122067265562227,283900,64900,24
ID135609297451497,31900,5700,24
ID113150913454684,34200,18900,23
ID113726439073212,176700,111800,23
ID114087216326096,43300,33700,23
ID114177410639460,16200,8400,23
ID114774411093510,37500,20200,23
ID115564685076145,123900,90200,23
ID115981296903761,15800,9000,23
ID116092966053518,54500,8700,23
ID116857470232233,33800,22400,23
ID117213952517493,23300,18100,23
ID117488830424059,18400,8800,23
ID117875377481306,15200,11400,23
ID118025701336794,143900,32700,23
ID118218974864488,9200,2700,23
ID119047903552333,22300,12700,23
ID119567594594858,22700,5300,23
ID119782342959678,108900,15900,23
ID109994112492440,49000,32300,22
ID110436494123715,30200,17700,22
ID110865990853492,204400,106400,22
ID111123688891210,22400,16300,22
ID113116553716322,19100,11200,22
ID115461605860980,41400,12500,22
ID116655606769467,26500,19700,22
ID117205362583291,20500,14100,22
ID117493125391772,13800,6300,22
ID118103010747479,17100,12500,22
ID118395068524263,57500,47200,22
ID119614839235184,22500,3500,22
ID120903329425047,32300,16300,22
ID121100897920608,31500,27100,22
ID121367185892990,11500,7700,22
ID122909079157645,38400,17100,22
ID127006477957678,25100,9700,22
ID131052337150254,13400,7000,22
ID109169478772258,31000,17800,21
ID116921894741804,105700,68600,21
ID117020678989615,17400,8000,21
ID117402931078708,11400,7200,21
ID117402931078906,220800,109300,21
ID118914759566811,71100,48100,21
ID119129507931851,94100,21000,21
ID119382911002193,82600,49000,21
ID119438745575854,26500,3600,21
ID120302034003432,63200,29400,21
ID120886149555717,28200,17700,21
ID122797410002566,17000,5400,21
ID132873403278609,52000,22200,21
ID110475148829594,40800,8200,20
ID110552458241776,28300,16300,20
ID110973365036391,38100,27000,20
ID111845243397581,29600,16500,20
ID113644834694766,248300,177700,20
ID113838108223058,73100,61100,20
ID114379274102298,10400,6600,20
ID115105123575265,143200,99300,20
ID117991341596970,76900,38100,20
ID118352118849811,25700,9100,20
ID119958436618840,14100,4900,20
ID120465242760653,22100,15300,20
ID121203977135747,19100,16500,20
ID121732258112860,20900,11000,20
ID121899761837627,26500,19400,20
ID122376503207332,102200,85000,20
ID114039971685763,231400,113800,19
ID114121576064532,109900,42400,19
ID118098715779677,29500,6800,19
ID118549687345926,60600,35600,19
ID119644904006263,146200,125700,19
ID119919781913182,127600,32800,19
ID121642063799590,32400,17400,19
ID122093035365813,51900,15900,19
ID122355028371127,138800,106000,19
ID128999342776055,29000,12100,19
ID109581795632210,61100,35000,18
ID112652697249306,74900,21900,18
ID114349209331120,97700,27500,18
ID115006339327421,142900,56100,18
ID118459493032138,22800,14600,18
ID118966299174351,97300,78700,18
ID119090853224708,71400,31700,18
ID119670673811209,53000,17800,18
ID119773753025103,17500,12600,18
ID121904056804781,10700,7200,18
ID122011430987838,32700,12300,18
ID122226179352162,49100,42300,18
ID123733712873303,98300,88700,18
ID130107444338936,36700,31300,18
ID132976482493447,21000,7800,18
ID109629040272438,160800,58900,17
ID110805861311419,107800,62200,17
ID111643379934492,96900,33200,17
ID114181705606616,120200,64900,17
ID115977001936433,171900,55900,17
ID119765163090500,19800,14600,17
ID120005681259102,17300,13100,17
ID122372208240321,96500,83100,17
ID122617021376044,101800,83100,17
ID123725122938719,91600,70700,17
ID128105989578437,122500,107100,17
ID129149666631440,94100,49400,17
ID110148731314980,18600,15300,16
ID110715666997977,184300,124200,16
ID111518825882284,172400,59700,16
ID112214610584188,139400,84600,16
ID113644834694455,52800,36400,16
ID116840290363097,29400,21600,16
ID117007794087591,29500,22700,16
ID117836722773971,19800,14800,16
ID117944096956386,68500,42000,16
ID118025701336915,23100,9700,16
ID118485262836044,48700,11500,16
ID119808112763517,24900,17800,16
ID119846767469168,121000,86600,16
ID128655745392510,68800,48900,16
ID111067854316427,126200,77100,15
ID111750754116175,66000,51100,15
ID112807316071640,8100,4700,15
ID113893942797766,118300,66100,15
ID115543210239470,184600,97900,15
ID117080808531625,75600,29100,15
ID117385751209638,10300,7900,15
ID118584047084986,29700,19700,15
ID118901874665026,22600,15900,15
ID128496831602541,62100,35600,15
ID128651450425130,67000,19900,15
ID112854560712205,34200,8100,14
ID115014929261998,15600,12200,14
ID116183160366567,179900,65200,14
ID118029996304148,161800,57500,14
ID118253334603422,21300,16500,14
ID118291989307680,45700,20100,14
ID118309169176925,21400,15400,14
ID119443040543242,17700,1700,14
ID119653493940762,60300,24000,14
ID119851062436426,11200,3100,14
ID111780818887961,68600,44000,13
ID113129438618928,87400,22800,13
ID113215337965075,44300,37200,13
ID116329189253996,23000,10700,13
ID116814520559390,13400,11300,13
ID117102283368137,20900,13600,13
ID118029996303420,15600,15000,13
ID119189637473741,21300,13800,13
ID122449517651589,61300,36200,13
ID122690035820051,74500,67300,13
ID128552666177350,40900,27200,13
ID133083856675895,14700,12000,13
ID136468290910884,37300,17100,13
ID108177341327213,26700,15900,12
ID111467286274687,166500,85900,12
ID112983409731048,93600,35100,12
ID113541755479469,16900,10400,12
ID115298397103733,39900,23600,12
ID117540370032161,98300,28100,12
ID117553254933473,58000,32800,12
ID118373593686165,226500,103500,12
ID119632019105414,157700,82400,12
ID133143986218172,154100,125200,12
ID113047834240528,53200,8700,11
ID113189568161216,233700,155600,11
ID113636244760141,110900,64300,11
ID113773683713346,104500,94200,11
ID113915417634427,235700,185800,11
ID116492398012047,13400,1400,11
ID118682831331750,14900,12400,11
ID119223997212055,33200,3600,11
ID120070105768556,23600,10800,11
ID121878287001147,12100,2000,11
ID122638496212676,110700,30300,11
ID122647086147080,75700,70000,11
ID113799453516000,130200,99600,10
ID113868172994183,88700,65500,10
ID114894670177730,269500,145000,10
ID116011361674754,15600,13500,10
ID116930484676390,103200,71500,10
ID117046448793244,166500,107300,10
ID118171730224831,66700,38900,10
ID118274809439601,38400,29100,10
ID118721486038515,767600,661300,10
ID119576184530525,23100,15100,10
ID132366597137372,25700,3500,10
ID132654359946341,40100,13800,10
ID132684424717526,49500,7600,10
ID113013474501964,37500,15500,9
ID113103668815383,62800,51800,9
ID113129438618922,20100,2700,9
ID113215337964892,92900,52500,9
ID113404316525859,14700,12300,9
ID113713554171311,68200,35700,9
ID114061446522384,37700,23200,9
ID117188182713746,15000,4100,9
ID117244017288704,253100,149700,9
ID117720758658614,939300,593100,9
ID117742233493937,31000,5400,9
ID117776593233713,944700,599100,9
ID118661356496372,712200,668300,9
ID118738665907656,10200,6000,9
ID118773025644838,574100,455600,9
ID118931939436006,18800,16400,9
ID119163867669963,26600,13800,9
ID119795227862665,138200,112000,9
ID120581206877643,25000,18500,9
ID130992207608125,27800,9400,9
ID112901805352224,31400,9900,8
ID112936165090775,67600,21400,8
ID113034949338611,17900,14800,8
ID113374251755017,67200,19700,8
ID113468741035424,10600,8900,8
ID113546050446656,743500,675700,8
ID114254720050684,278800,114100,8
ID115942642197966,28300,3400,8
ID116153095595469,57900,23700,8
ID117390046176761,17600,10500,8
ID117501715326373,40500,22300,8
ID117725053625802,602600,511700,8
ID117768003298682,9700,5300,8
ID117806658004433,203500,147200,8
ID118017111401983,127400,40100,8
ID118407953426133,14400,10900,8
ID118532507476752,15100,500,8
ID118708601136817,172500,99300,8
ID119447335510630,37200,19200,8
ID120795955242346,15700,3100,8
ID122299193796256,37400,17100,8
ID122342143469233,106000,46800,8
ID132379482039182,150300,97900,8
ID132546985763848,40700,11200,8
ID134720239215288,30200,13000,8
ID111871013201397,41100,20200,7
ID112227495486780,42400,42000,7
ID113056424175078,28300,22100,7
ID113133733586332,18300,17000,7
ID113915417634185,31400,5900,7
ID114181705606587,27500,16200,7
ID114293374756223,19300,11200,7
ID116187455334139,27900,26400,7
ID116286239581728,30400,29800,7
ID117153822975763,31100,18000,7
ID117265492123950,22500,12300,7
ID117347096503662,64200,19200,7
ID117523190162996,40100,15000,7
ID117639154279993,51500,18500,7
ID117802363037091,13400,11300,7
ID117991341596790,25100,12500,7
ID118240449700229,51000,23100,7
ID118584047083780,223600,92500,7
ID118609816888078,13500,4400,7
ID118622701789356,51200,19900,7
ID118669946429728,557900,429000,7
ID118815975319105,199400,118500,7
ID118884694795773,65700,46100,7
ID119065083422424,8300,300,7
ID133719511835540,13400,12600,7
ID110290465235891,65200,34900,6
