system:index,B11,B12,B2,B3,B4,B8,B8A,latitude,longitude,ndvi,ndwi,slump,.geo
00000000000000001b34,2419,1290,1058,849,818,1821,2161,76.01171383858194,100.8857522582801,0.3800682,0.36404493,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001b54,2561,1360,1199,965,910,1913,2208,76.01171383858194,100.8857522582801,0.35529578,0.3293954,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003848,2571,1338,1113,962,1003,2686,3196,75.88389816598597,102.7039105809132,0.4562212,0.4725877,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017a5,66,32,1335,1073,982,585,541,76.46868251453907,101.24030430124171,-0.25335035,-0.2943305,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c9,62,32,1263,1030,818,384,365,76.46868251453907,101.24030430124171,-0.36106488,-0.45685998,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017e7,43,20,1160,919,603,271,247,76.46868251453907,101.24030430124171,-0.3798627,-0.54453784,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000180d,40,20,1161,932,677,266,219,76.46868251453907,101.24030430124171,-0.43584305,-0.55592656,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001813,40,20,1161,932,677,266,219,76.46868251453907,101.24030430124171,-0.43584305,-0.55592656,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000184f,23,15,1154,912,631,218,177,76.46868251453907,101.24030430124171,-0.48645467,-0.6141593,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001874,34,30,1208,921,589,251,225,76.46868251453907,101.24030430124171,-0.40238094,-0.5716724,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001891,42,14,1204,932,602,245,224,76.46868251453907,101.24030430124171,-0.4214876,-0.58368737,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001895,42,14,1204,932,602,246,224,76.46868251453907,101.24030430124171,-0.4198113,-0.582343,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000018f0,103,76,1253,983,692,304,270,76.46868251453907,101.24030430124171,-0.38955823,-0.52758354,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000190e,231,189,1427,1159,937,514,485,76.46868251453907,101.24030430124171,-0.2915231,-0.38553497,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001cdf,1940,1463,1302,1091,1077,1557,1752,75.81525476436923,100.99841590549647,0.18223235,0.17598188,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001b7a,1663,870,1142,898,853,1848,2324,76.18418294912712,100.77033288661272,0.36838207,0.34595776,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bf4,31,19,1111,855,558,231,193,76.2400465671247,99.49018740158316,-0.41444868,-0.5745856,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e92,2711,1382,1177,1033,981,2496,3011,75.23111698546887,98.78264400102869,0.43572044,0.41456503,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea9,2429,1271,1112,954,915,2334,2688,75.23111698546887,98.78264400102869,0.43674976,0.41970804,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
