system:index,DN,area_km2,layer,path,site_no,watershed_area_km2,year,.geo
0_0_00000000000000000000,1,1.543854810471193,est1_006_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_006_wshd.shp,est1_006,11268.622789416606,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000001,1,1.543854810471193,est1_005_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_005_wshd.shp,est1_005,10909.57432419266,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000002,1,1.543854810471193,est1_004_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_004_wshd.shp,est1_004,10691.99017744351,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000003,1,1.4474811078669712,est1_004a_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_004a_wshd.shp,est1_004a,9980.285593903476,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000004,1,1.4474811078669712,est1_003_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_003_wshd.shp,est1_003,9708.968489629953,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000005,1,0.33395942028548603,c001_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/c001_wshd.shp,c001,570.4728073372927,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000006,1,1.1686857013859768,est1_002_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_002_wshd.shp,est1_002,8761.324885203001,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000007,1,1.097356114147022,est1_002a_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_002a_wshd.shp,est1_002a,8577.237424575995,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000008,1,0.9774563416178184,est1_001_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_001_wshd.shp,est1_001,8285.671326696172,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_00000000000000000009,1,0.6614437475618321,est1_001a_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est1_001a_wshd.shp,est1_001a,8204.562951068327,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_0000000000000000000a,1,0.05940464670075199,control_001_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/control_001_wshd.shp,control_001,3190.1697121291463,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_0000000000000000000b,1,0.5153917472187388,control_004_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/control_004_wshd.shp,control_004,3679.2481852912088,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_0000000000000000000c,1,0.33395942028548603,c002_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/c002_wshd.shp,c002,352.9136216528812,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000000,1,0.9629162094980286,est2_005_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est2_005_wshd.shp,est2_005,126448.39292680929,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000001,1,0.9629162094980286,est2_004_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est2_004_wshd.shp,est2_004,125310.62302199693,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000002,1,0.44805779061284934,est2_003_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est2_003_wshd.shp,est2_003,122670.81111307563,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000003,1,0.4357461877616612,est2_002_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est2_002_wshd.shp,est2_002,121958.02307156472,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000004,1,0.3743864639762412,est2_001_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/est2_001_wshd.shp,est2_001,120418.7045437754,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000005,1,0.09526258702702642,g001_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/g001_wshd.shp,g001,17576.36802203971,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000006,1,0.0,control_002_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/control_002_wshd.shp,control_002,14684.669516840928,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000007,1,0.06135972378542004,e001_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/e001_wshd.shp,e001,830.8037075925799,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000008,1,0.035583657390235016,e002_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/e002_wshd.shp,e002,500.0975999205465,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_00000000000000000009,1,0.0,a002_wshd,/Users/dethier/arctic_rivers/imports/taymyr_subwatersheds/a002_wshd.shp,a002,840.0382155459675,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
