system:index,area_km2,count,label,label2024,latitude,longitude,year,.geo
7_000000000000000001c3_6_00000000000000000171,8.913488845336013E-4,1,796647714071585,7_000000000000000001c3,75.6317688493298,99.97413682294916,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001c3_6_00000000000000000170,0.052582800760618914,59,796660598973473,7_000000000000000001c3,75.63366897939055,99.97216385007185,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001c3_7_000000000000000001c3,8.913488845336013E-4,1,796647714071585,7_000000000000000001c3,75.6317688493298,99.97413682294916,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001c3_7_000000000000000001c2,0.05792987579401733,65,796660598973473,7_000000000000000001c3,75.63367601504581,99.97207234906897,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002e0_5_00000000000000000191,0.011360121133103154,13,806165361600054,7_000000000000000002e0,75.91938180151087,101.16978062370731,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002e0_6_00000000000000000249,8.738686257323326E-4,1,806195426371126,7_000000000000000002e0,75.91905012552596,101.17230973246994,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002e0_6_00000000000000000248,0.011360121133103154,13,806165361600054,7_000000000000000002e0,75.91938180151087,101.16978062370731,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002e0_7_000000000000000002e0,8.738686257323326E-4,1,806195426371126,7_000000000000000002e0,75.91905012552596,101.17230973246994,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002e0_7_000000000000000002df,0.011360121133103154,13,806165361600054,7_000000000000000002e0,75.91938180151087,101.16978062370731,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000059f_5_000000000000000003c9,0.010382253590903459,12,816194110236478,7_0000000000000000059f,76.06201696493224,102.42775019210373,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000059f_6_000000000000000004ca,8.653806238385879E-4,1,816181225334590,7_0000000000000000059f,76.06134325585265,102.42545955086422,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000059f_6_000000000000000004cb,0.03114417141264177,36,816194110236478,7_0000000000000000059f,76.06336431985069,102.42831908281009,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000059f_7_0000000000000000059f,8.653806238385879E-4,1,816181225334590,7_0000000000000000059f,76.06134325585265,102.42545955086422,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000059f_7_000000000000000005a0,0.03114417141264177,36,816194110236478,7_0000000000000000059f,76.06336431985069,102.42831908281009,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000682_7_00000000000000000682,8.536521468117824E-4,1,821485509945504,7_00000000000000000682,76.25268443012064,103.0959620674403,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000682_7_00000000000000000504,0.016218772889305195,19,821485509945504,7_00000000000000000682,76.25282624513012,103.09272809744188,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000077_4_00000000000000000030,0.00979544782949046,11,786777879225401,7_00000000000000000077,75.64509663057797,98.73627465716362,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000077_6_00000000000000000065,0.05075802539272015,57,786777879225401,7_00000000000000000077,75.64552732286998,98.7406929117126,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000077_7_00000000000000000077,0.0017812241727886296,2,786769289290808,7_00000000000000000077,75.64416566182997,98.7347312853675,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000077_7_0000000000000000007a,0.06055481593886705,68,786790764127288,7_00000000000000000077,75.64537836244853,98.74029521414641,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000000ac_7_000000000000000000ac,0.001747886008326905,2,792180948084276,7_000000000000000000ac,75.91797215331303,99.41385762884435,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000000ac_7_000000000000000000b0,0.012235468979020173,14,792202422920756,7_000000000000000000ac,75.91839563657061,99.41724547433404,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001d1_4_0000000000000000004a,0.02399048058227553,27,797459462890612,7_000000000000000001d1,75.67806202015227,100.07732330748404,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001d1_5_00000000000000000100,0.0017773804182740392,2,797433693086835,7_000000000000000001d1,75.67596598414426,100.07789222392832,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001d1_6_0000000000000000017d,0.0017773804182740392,2,797433693086835,7_000000000000000001d1,75.67596598414426,100.07789222392832,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001d1_7_000000000000000001d1,0.0017773804182740392,2,797446577988722,7_000000000000000001d1,75.67596598414426,100.07789222392832,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000020d_7_0000000000000000020d,0.0017149708524452586,2,804790972065829,7_0000000000000000020d,76.18854474360383,100.99525176865563,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002c4_4_000000000000000000a4,0.013185722877043176,15,802089437635991,7_000000000000000002c4,75.83378201891598,100.65822187033685,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002c4_5_000000000000000001a0,0.03780145131272971,43,802076552734102,7_000000000000000002c4,75.83368926025655,100.65589533856279,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002c4_6_00000000000000000258,0.055382582619408725,63,802076552734102,7_000000000000000002c4,75.83382139504448,100.65403318772162,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002c4_7_000000000000000002c4,0.0017581899271034054,2,802076552734101,7_000000000000000002c4,75.83496781185204,100.65784465241758,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002c4_7_000000000000000002f0,0.06768913943245364,77,802076552734101,7_000000000000000002c4,75.83370084367904,100.65392825714633,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000033f_5_0000000000000000026b,0.010452553157632691,12,810907005494924,7_0000000000000000033f,75.96567265572645,101.76438940227366,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000033f_6_00000000000000000297,0.0017420272257370935,2,810907005494924,7_0000000000000000033f,75.96594217439885,101.76600637747998,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000033f_6_0000000000000000034f,0.010452553157632691,12,810907005494924,7_0000000000000000033f,75.96567265572645,101.76438940227366,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000033f_7_0000000000000000033f,0.0017420272257370935,2,810907005494924,7_0000000000000000033f,75.96594217439885,101.76600637747998,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000033f_7_0000000000000000040d,0.013936782018250583,16,810907005494924,7_0000000000000000033f,75.96574004075899,101.76358093830933,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000033f_7_00000000000000000340,0.04180747114199471,48,810941365233291,7_0000000000000000033f,75.96652606781882,101.76962236241056,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003a4_6_000000000000000002f2,8.697518464562318E-4,1,813423856330421,7_000000000000000003a4,75.9891187113169,102.0751165842708,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003a4_6_00000000000000000439,0.01913353071096634,22,813423856330421,7_000000000000000003a4,75.98840819270963,102.07786061587743,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003a4_7_000000000000000003a4,0.0017394807529100863,2,813423856330421,7_000000000000000003a4,75.98884921400143,102.0748470757629,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003a4_7_00000000000000000508,0.02087312593493928,24,813423856330421,7_000000000000000003a4,75.9884224858396,102.07765439165891,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000004d4_5_00000000000000000318,0.028318167870347143,33,820501962434582,7_000000000000000004d4,76.17864687861528,102.96947917991764,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000004d4_6_00000000000000000406,0.030034035585113493,35,820501962434582,7_000000000000000004d4,76.17853489032673,102.96917633320936,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000004d4_7_000000000000000004d4,0.0017162786088560766,2,820527732238357,7_000000000000000004d4,76.17722594192092,102.9711861484686,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000004d4_7_000000000000000004d6,0.033466980721895176,39,820510552369173,7_000000000000000004d4,76.17853882214034,102.96945153369305,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000575_6_0000000000000000049f,0.0017353763216624123,2,815283577169652,7_00000000000000000575,76.02145804451428,102.31308024944474,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000575_6_000000000000000004a0,0.010411781325212567,12,815300757038836,7_00000000000000000575,76.02172756084765,102.31577519242131,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000575_7_00000000000000000575,0.0017353763216624123,2,815283577169652,7_00000000000000000575,76.02145804451428,102.31308024944474,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000575_7_00000000000000000576,0.010411781325212567,12,815300757038836,7_00000000000000000575,76.02172756084765,102.31577519242131,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005a9_6_000000000000000004d4,0.001727111596417734,2,816357318993778,7_000000000000000005a9,76.08937066659313,102.44782752185152,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005a9_6_000000000000000004d3,0.01899664400829057,22,816322959255410,7_000000000000000005a9,76.09044860194345,102.44461809096926,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005a9_7_000000000000000005a9,0.001727111596417734,2,816357318993778,7_000000000000000005a9,76.08937066659313,102.44782752185152,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005a9_7_000000000000000005a7,0.019860511953599894,23,816322959255410,7_000000000000000005a9,76.09049549627244,102.44453499348941,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_0_00000000000000000044,0.001740399936048945,2,818543457347239,7_000000000000000005fc,75.97995590149253,102.72217301114792,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_0_00000000000000000043,0.049598813766693915,57,818436083164839,7_000000000000000005fc,75.98085424765695,102.71058529214113,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_1_00000000000000000055,0.001740399936048945,2,818543457347239,7_000000000000000005fc,75.97995590149253,102.72217301114792,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_1_00000000000000000054,0.0522093731173985,60,818436083164839,7_000000000000000005fc,75.98089018083682,102.71042357109454,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_6_00000000000000000522,0.001740399936048945,2,818543457347239,7_000000000000000005fc,75.97995590149253,102.72217301114792,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_6_00000000000000000520,0.054819829300674534,63,818436083164839,7_000000000000000005fc,75.98092269049351,102.71035424935448,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_7_000000000000000005fc,0.001740399936048945,2,818543457347239,7_000000000000000005fc,75.97995590149253,102.72217301114792,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000005fc_7_000000000000000005fb,0.054819829300674534,63,818436083164839,7_000000000000000005fc,75.98092269049351,102.71035424935448,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_2_0000000000000000009a,0.0017115206807638429,2,827313780566112,7_000000000000000006c2,76.21765012016922,103.82278889085211,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_2_00000000000000000099,0.017969885593201278,21,827266535925856,7_000000000000000006c2,76.21831741690187,103.81787395409603,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_4_000000000000000002a4,0.0017115206807638429,2,827313780566112,7_000000000000000006c2,76.21765012016922,103.82278889085211,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_4_000000000000000002a3,0.010269222785081968,12,827266535925856,7_000000000000000006c2,76.21805435096424,103.81915065403399,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_5_000000000000000004a9,0.0017115206807638429,2,827313780566112,7_000000000000000006c2,76.21765012016922,103.82278889085211,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_5_000000000000000004a8,0.017969885593201278,21,827266535925856,7_000000000000000006c2,76.21831741690187,103.81787395409603,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_6_000000000000000005cf,0.014546353304807481,17,827266535925857,7_000000000000000006c2,76.21844275248081,103.81811247611854,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_7_000000000000000006c2,0.0017115206807638429,2,827313780566112,7_000000000000000006c2,76.21765012016922,103.82278889085211,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000006c2_7_000000000000000006bf,0.01968100885670568,23,827266535925856,7_000000000000000006c2,76.21825939885954,103.8179264008638,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000031_6_00000000000000000026,0.04159188452695457,48,786850893670166,7_00000000000000000031,76.04072694024242,98.74341134964601,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000031_7_00000000000000000031,0.0025997606070584955,3,786898138310421,7_00000000000000000031,76.03924470116796,98.75117038836048,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000031_7_0000000000000000002e,0.04679110912603603,54,786876663473941,7_00000000000000000031,76.04064207919618,98.74344512788055,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000049_7_00000000000000000049,0.002678392033523405,3,785820101518322,7_00000000000000000049,75.60643639590242,98.615884096878,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000049_7_0000000000000000004a,0.007142565573847163,8,785841576354802,7_00000000000000000049,75.60677325716671,98.6182421173161,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000120_5_0000000000000000008b,0.009409677365515241,11,797261894396008,7_00000000000000000120,76.22210901850212,100.05317227291806,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000120_7_00000000000000000120,0.0025663411396304354,3,797296254134375,7_00000000000000000120,76.22142300416925,100.05606316525426,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000120_7_0000000000000000011f,0.030795982874647427,33,797249009494119,7_00000000000000000120,76.22230638281329,100.05095774550175,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_6_0000000000000000019a,0.002566396497112581,3,802703617960036,7_000000000000000001f0,76.21980606991427,100.73465044286283,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_6_00000000000000000199,0.02309985978786745,27,802682143123556,7_000000000000000001f0,76.22062451503652,100.73161619809312,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_7_000000000000000001f0,0.002566396497112581,3,802703617960036,7_000000000000000001f0,76.21980606991427,100.73465044286283,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_7_000000000000000001ef,0.02309985978786745,27,802682143123556,7_000000000000000001f0,76.22062451503652,100.73161619809312,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
